,Gross domestic product 2018,,,,
MNG,132,,Mongolia," 13,010 ",
MKD,133,,North Macedonia," 12,672 ",
ARM,134,,Armenia," 12,433 ",
BHS,135,,"Bahamas, The"," 12,162 ",
MDG,136,,Madagascar," 12,100 ",
MDA,137,,Moldova," 11,309 ",g
TCD,138,,Chad," 11,303 ",
COG,139,,"Congo, Rep."," 11,264 ",
GIN,140,,Guinea," 10,990 ",
BEN,141,,Benin," 10,359 ",
HTI,142,,Haiti," 9,658 ",
RWA,143,,Rwanda," 9,509 ",
NER,144,,Niger," 9,240 ",
KGZ,145,,Kyrgyz Republic," 8,093 ",
XKX,146,,Kosovo," 7,900 ",
TJK,147,,Tajikistan," 7,523 ",
MWI,148,,Malawi," 7,065 ",
IMN,149,,Isle of Man," 6,593 ",
MCO,150,,Monaco," 6,401 ",
LIE,151,,Liechtenstein," 6,215 ",
GUM,152,,Guam," 5,859 ",
FJI,153,,Fiji," 5,480 ",
MNE,154,,Montenegro," 5,452 ",
MRT,155,,Mauritania," 5,366 ",
TGO,156,,Togo," 5,300 ",
MDV,157,,Maldives," 5,272 ",
SOM,158,,Somalia," 4,721 ",
SWZ,159,,Eswatini," 4,704 ",
BRB,160,,Barbados," 4,674 ",
SLE,161,,Sierra Leone," 4,000 ",
VIR,162,,Virgin Islands (U.S.)," 3,855 ",
GUY,163,,Guyana," 3,610 ",
CYM,164,,Cayman Islands," 3,571 ",
SUR,165,,Suriname," 3,427 ",
LBR,166,,Liberia," 3,249 ",
AND,167,,Andorra," 3,237 ",
CUW,168,,Curacao," 3,117 ",
BDI,169,,Burundi," 3,078 ",
SSD,170,,South Sudan," 3,071 ",
LSO,171,,Lesotho," 2,792 ",
GRL,172,,Greenland," 2,714 ",
ABW,173,,Aruba," 2,701 ",
FRO,174,,Faroe Islands," 2,689 ",
TLS,175,,Timor-Leste," 2,581 ",
BTN,176,,Bhutan," 2,535 ",
CAF,177,,Central African Republic," 2,380 ",
CPV,178,,Cabo Verde," 1,987 ",
DJI,179,,Djibouti," 1,966 ",
BLZ,180,,Belize," 1,925 ",
LCA,181,,St. Lucia," 1,876 ",
SMR,182,,San Marino," 1,633 ",
GMB,183,,"Gambia, The"," 1,624 ",
ATG,184,,Antigua and Barbuda," 1,624 ",
MNP,185,,Northern Mariana Islands," 1,593 ",
SYC,186,,Seychelles," 1,590 ",
GNB,187,,Guinea-Bissau," 1,458 ",
SLB,188,,Solomon Islands," 1,412 ",
GRD,189,,Grenada," 1,207 ",
COM,190,,Comoros," 1,203 ",
KNA,191,,St. Kitts and Nevis," 1,040 ",
TCA,192,,Turks and Caicos Islands," 1,022 ",
VUT,193,,Vanuatu, 888 ,
WSM,194,,Samoa, 861 ,
VCT,195,,St. Vincent and the Grenadines, 813 ,
ASM,196,,American Samoa, 634 ,
DMA,197,,Dominica, 504 ,
TON,198,,Tonga, 450 ,
STP,199,,Sao Tome and Principe, 422 ,
FSM,200,,"Micronesia, Fed. Sts.", 345 ,
PLW,201,,Palau, 310 ,
MHL,202,,Marshall Islands, 212 ,
KIR,203,,Kiribati, 188 ,
NRU,204,,Nauru, 115 ,
TUV,205,,Tuvalu, 43 ,
BMU,,,Bermuda, .. ,
VGB,,,British Virgin Islands, .. ,
CHI,,,Channel Islands, .. ,
ERI,,,Eritrea, .. ,
PYF,,,French Polynesia, .. ,
GIB,,,Gibraltar, .. ,
PRK,,,"Korea, Dem. People's Rep.", .. ,
NCL,,,New Caledonia, .. ,
SXM,,,Sint Maarten (Dutch part), .. ,
MAF,,,St. Martin (French part), .. ,
SYR,,,Syrian Arab Republic, .. ,
VEN,,,"Venezuela, RB", .. ,
,,,,,
,,,,,
,,,,,
WLD,,,World,"85,802,373",
,,,,,
EAS,,,East Asia & Pacific,"25,918,289",
ECS,,,Europe & Central Asia,"23,041,491",
LCN,,,Latin America & Caribbean,"5,787,293",
MEA,,,Middle East & North Africa,"3,616,869",
NAC,,,North America,"22,213,255",
SAS,,,South Asia,"3,457,801",
SSF,,,Sub-Saharan Africa,"1,697,468",
LIC,,,Low income,"573,349",
LMC,,,Lower middle income,"6,707,524",
UMC,,,Upper middle income,"24,433,054",
HIC,,,High income,"54,118,794",
,,,,,
,.. Not available.  ,,,,
,"Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for
 2017 or 2016, ranking is approximate.",,,,
,"a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b . Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina¡¯s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  c. Includes Former Spanish Sahara.  d. Covers mainland Tanzania only.  e. Data are for the area controlled by the government of Cyprus.  f. Excludes Abkhazia and South Ossetia.  g. Excludes Transnistria.",,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
